"Excel row","Organisation","Department","Duplicate of row","Department UUID","Organisation UUID","Outcome","Changed fields","Blank fields preserved","address_line_1","address_line2","address_line_3","address_town_city","address_county","address_post_code","phone_number"
"29","Chelsea and Westminster Hospital","Nuclear Medicine Stand Alone","","17a8342b-e9f8-4b93-a185-819b30fb0480","d2366cdb-7c3b-47a9-beae-8e1d031876cb","Updated and verified","address_line_1; address_town_city; address_post_code; phone_number","address_line2; address_line_3; address_county","369 Fulham Road","","","London","","SW10 9NH","020 3315 8415"
"30","Cheltenham General Hospital","Nuclear Medicine Stand Alone","","14638070-91cb-4e88-b78e-7e3268acd669","41fc84ec-b6da-4a4a-8c49-37537b7b96a8","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Sandford Road","","","Cheltenham","Gloucestershire","GL53 7AN",""
"31","Cheltenham General Hospital","Radiopharmacy","","200433b2-8a66-4f8a-9b26-1bff874b8b32","41fc84ec-b6da-4a4a-8c49-37537b7b96a8","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Sandford Road","","","Cheltenham","Gloucestershire","GL53 7AN",""
"32","Chesterfield Royal Hospital","Radiopharmacy","","28ecd3fa-188e-4a62-9211-fa560dba2096","2ae3e12c-0287-4417-89f9-e76fcea0ff74","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Chesterfield Road","Calow","","Chesterfield","Derbyshire","S44 5BL",""
"33","Chesterfield Royal Hospital","Radiology based Nuclear Medicine","","42bf0355-c042-43a2-ad85-204d21778145","2ae3e12c-0287-4417-89f9-e76fcea0ff74","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Chesterfield Road","Calow","","Chesterfield","Derbyshire","S44 5BL",""
"34","Christchurch Hospital","Radiology based Nuclear Medicine","","fdb93b8c-712a-4852-bdbf-25215279f072","27f8f87e-e47c-4ead-a201-e8cc03b4419c","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Fairmile Road","","","Christchurch","Dorset","BH23 2JX",""
"35","Churchill Hospital","Nuclear Medicine Stand Alone","","a3a8ded3-2493-4b6c-9550-f454398bc8cd","22813a71-ef75-497b-95a6-7616b2ba8bd2","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Old Road","Headington","","Oxford","Oxfordshire","OX3 7LE",""
"36","Churchill Hospital","PET Centre","","c3ab9ee8-5392-4140-800d-e674fb2de6a7","22813a71-ef75-497b-95a6-7616b2ba8bd2","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Old Road","Headington","","Oxford","Oxfordshire","OX3 7LE",""
"37","Churchill Hospital","Radiopharmacy","","f294f444-e5f4-4f00-af12-597530d82096","22813a71-ef75-497b-95a6-7616b2ba8bd2","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Old Road","Headington","","Oxford","Oxfordshire","OX3 7LE",""
"38","Clatterbridge Hospital","Radiology based Nuclear Medicine","","4320f0a0-524e-4db2-8275-ad6ef85c4e0c","1b7d188f-1986-4018-bf74-bfe4627394aa","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Clatterbridge Road","","","Bebington","Wirral","CH63 4JY",""
"39","Cobalt Imaging Centre","PET Centre","","c0e7b56b-c639-4b29-b56c-495862bef4f8","51235727-144e-4bb5-8f48-35e6c2c6d6d1","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Thirlestaine Road","","","Cheltenham","Gloucestershire","GL53 7AS",""
"40","Colchester Hospital","Radiopharmacy","","0e2849f9-87e2-4be9-94eb-1dc6fd125c39","9bde0feb-734f-446b-9805-59111aec3633","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Turner Road","","","Colchester","Essex","CO4 5JL",""
"41","Colchester Hospital","Radiology based Nuclear Medicine","","b0e7710b-bd47-44c5-a5b0-4cf67fce9b5b","9bde0feb-734f-446b-9805-59111aec3633","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Turner Road","","","Colchester","Essex","CO4 5JL",""
"42","Conquest Hospital","Radiology based Nuclear Medicine","","b875b580-49ad-418a-aaf5-46c515dd559d","56b36b6b-c57f-4f0f-a92d-ef6e51987ba7","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","The Ridge","","","St Leonards-on-Sea","East Sussex","TN37 7RD",""
"43","Countess of Chester Hospital","Radiology based Nuclear Medicine","","16a9fe60-8b9b-4c78-915a-87c164ba2705","cd8aaac1-3e88-444a-8107-aca6c2f06de8","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Liverpool Road","","","Chester","Cheshire","CH2 1UL",""
"44","Craigavon Area Hospital","Radiology based Nuclear Medicine","","536fb38e-034a-4018-a4c9-37013595896a","0cc860d7-ed62-44ef-b0a1-f35cd3f330bf","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","68 Lurgan Road","","","Portadown","","BT63 5QQ",""
"45","Cromwell Hospital","PET Centre","","acb738c0-c335-480d-ad9a-df12c8c69e01","befcc132-fcac-440a-96af-51c77e0c87be","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","164-178 Cromwell Road","","","London","","SW5 0TU",""
"46","Crosshouse Hospital","Nuclear Medicine - Physics based","","48b41eea-59ba-4a5a-a085-96888d892c6d","fd2520d8-9c8d-408d-82ad-6028bc99712f","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Kilmarnock Road","Crosshouse","","Kilmarnock","Ayrshire","KA2 0BE",""
"47","Cumberland Infirmary","Radiology based Nuclear Medicine","","20b372f6-0987-422f-a85a-6e90d65dc411","2d4d1f43-35cf-45f3-b83d-4aabc09efadd","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Newtown Road","","","Carlisle","Cumbria","CA2 7HY",""
"48","Cumberland Infirmary","Radiopharmacy","","26ecfe47-5db9-4cc1-8209-34ead5effa54","2d4d1f43-35cf-45f3-b83d-4aabc09efadd","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Newtown Road","","","Carlisle","Cumbria","CA2 7HY",""
"49","Darent Valley Hospital","Nuclear Medicine Stand Alone","","24cc0002-770c-4e84-8ffb-d91859515266","64a2317e-f62b-42c1-8cb3-e5a2d6bab2a4","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Darenth Wood Road","","","Dartford","Kent","DA2 8DA",""
"50","Darlington Memorial Hospital","Radiopharmacy","","0d159ef9-b7a8-41e2-b514-770e3e8c139c","8260f133-56e0-4924-a98d-920d68040aee","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Hollyhurst Road","","","Darlington","County Durham","DL3 6HX",""
"51","Darlington Memorial Hospital","Nuclear Medicine - Physics based","","cd744770-5ef3-4a6f-9a4b-72cd3d107933","8260f133-56e0-4924-a98d-920d68040aee","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Hollyhurst Road","","","Darlington","County Durham","DL3 6HX",""
"52","Derriford Hospital","Nuclear Medicine Stand Alone","","3dd51100-b514-491b-9c92-f618c2c67b49","959243f8-f552-44e7-b447-1ceda4181c80","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Derriford Road","Crownhill","","Plymouth","Devon","PL6 8DH",""
"53","Derriford Hospital","Radiopharmacy","","b9b2efff-8fe0-404e-9c74-4953f7b978ff","959243f8-f552-44e7-b447-1ceda4181c80","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Derriford Road","Crownhill","","Plymouth","Devon","PL6 8DH",""
"54","Diana, Princess of Wales Hospital","Radiopharmacy","","9ef76a3b-d4b0-42c0-aef7-5882187b4eae","6abe5a77-40c5-4e7f-892d-bb45dd755181","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Scartho Road","","","Grimsby","North East Lincolnshire","DN33 2BA",""
"55","Diana, Princess of Wales Hospital","Nuclear Medicine Stand Alone","","b6c0d546-ac17-41cc-a3fa-93c87e663009","6abe5a77-40c5-4e7f-892d-bb45dd755181","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Scartho Road","","","Grimsby","North East Lincolnshire","DN33 2BA",""
"56","Doncaster Royal Infirmary","Radiology based Nuclear Medicine","","938b4829-bda4-414b-8201-c8c67f9d3c16","d0cf3998-a023-44c3-b1cd-f9a9bd86f738","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Armthorpe Road","","","Doncaster","South Yorkshire","DN2 5LT",""
"57","East Surrey Hospital","Radiology based Nuclear Medicine","","4ea38a89-5605-4e7b-8894-c7d149269e96","2e29dda4-134e-4e00-b85b-7048734bcd1d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Canada Avenue","","","Redhill","Surrey","RH1 5RH",""
"58","Eastbourne District General Hospital","Radiology based Nuclear Medicine","","f3dd293c-0f5c-45b8-a99b-cb3b7be9f423","cf16656b-44a6-450b-88c9-ce15a65ac0b9","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Kings Drive","","","Eastbourne","East Sussex","BN21 2UD",""
"59","Forth Valley Royal Hospital","Nuclear Medicine Stand Alone","","3d8e352a-15d5-46ee-9f1d-1c7fe35c9a6e","59f043a5-7a54-47d9-a637-3bfd40d3dbd8","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Stirling Road","","","Larbert","","FK5 4WR",""
"60","Freeman Hospital","Radiopharmacy","","219e23f7-83aa-478f-8fab-336bcf35f94c","b41fad3f-42f6-406d-a50a-17c7a3809b69","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Freeman Road","High Heaton","","Newcastle upon Tyne","Tyne and Wear","NE7 7DN",""
"61","Freeman Hospital","Radiology based Nuclear Medicine","","f9629759-cd53-499b-97b9-a94784536d18","b41fad3f-42f6-406d-a50a-17c7a3809b69","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code; phone_number","address_line_3","Freeman Road","High Heaton","","Newcastle upon Tyne","Tyne and Wear","NE7 7DN","0191 2138200"
"62","Frimley Park Hospital","Radiology based Nuclear Medicine","","bff9eafd-5d9c-4acb-96ce-85aa62594ee6","97ca46dd-48af-443f-b396-af5908a2a984","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Portsmouth Road","","","Camberley","Surrey","GU16 7UJ",""
"63","Furness General Hospital","Radiopharmacy","","3288420a-0fd4-43fb-a62a-8259c276ee68","0d7b6d55-a69a-4fb7-9f66-e0ce4a88c2f6","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Dalton Lane","","","Barrow-in-Furness","Cumbria","LA14 4LF",""
"64","Furness General Hospital","Radiology based Nuclear Medicine","","41264ea6-ad70-4eb1-9bc1-89b5079baafe","0d7b6d55-a69a-4fb7-9f66-e0ce4a88c2f6","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Dalton Lane","","","Barrow-in-Furness","Cumbria","LA14 4LF",""
"65","Gartnavel General Hospital","Nuclear Medicine - Physics based","","1c7f36aa-9d78-47ce-84be-47fdce6c65f8","d2a04c1b-8de7-402e-af4b-61ece4f7f71e","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","1053 Great Western Road","","","Glasgow","","G12 0YN",""
"66","Glan Clwyd Hospital","Radiology based Nuclear Medicine","","de433674-b81f-41eb-99b9-20c4e246c475","f7f2e1be-f62b-46b9-b3fa-793f3c37986d","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Rhuddlan Road","Bodelwyddan","","Rhyl","Denbighshire","LL18 5UJ",""
"67","Glasgow Royal Infirmary","Nuclear Medicine - Physics based","","b0d9c420-0aae-4af9-ba51-8c19697e7f56","474d6028-27c3-447d-afe2-7c9d8540e4ab","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Alexandra Parade","","","Glasgow","","G31 2ER",""
"68","Glasgow Royal Infirmary","Nuclear Cardiology","","e6eeef1a-cbb6-4471-977c-146673deae3e","474d6028-27c3-447d-afe2-7c9d8540e4ab","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Alexandra Parade","","","Glasgow","","G31 2ER",""
"69","Glenfield Hospital","Nuclear Medicine - Physics based","","193c80ab-8e0b-4599-80bb-07bc46f0db80","b99c1308-2c5f-4ec6-8288-c576a2970071","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Groby Road","","","Leicester","Leicestershire","LE3 9QP",""
"70","Glenfield Hospital","Nuclear Medicine Stand Alone","","c6e3d8ea-fc24-44c4-8202-28e0c2c0fd6e","b99c1308-2c5f-4ec6-8288-c576a2970071","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Groby Road","","","Leicester","Leicestershire","LE3 9QP",""
"71","Gloucestershire Royal Hospital","Nuclear Medicine - Physics based","","c9dc0ef2-675d-4000-bc95-4a354833360e","3a0d28db-1e80-47e6-9002-0885c9a5a334","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Great Western Road","","","Gloucester","Gloucestershire","GL1 3NN",""
"72","Good Hope Hospital","Radiology based Nuclear Medicine","","42866e4c-b51e-4072-b1fc-fe8a9dc61828","e1c8d402-7c52-4e9c-974f-d75b3c0d2198","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Rectory Road","","","Sutton Coldfield","West Midlands","B75 7RR",""
"73","Grantham and District Hospital","Radiology based Nuclear Medicine","","eb0010bc-a05b-43d3-982e-d4d496036b53","794ad7f2-0af5-4a6b-abb9-226538640df1","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","101 Manthorpe Road","","","Grantham","Lincolnshire","NG31 8DG",""
"74","Great Ormond Street Hospital","Radiology based Nuclear Medicine","","e5ab5b90-9a97-4565-9397-c03615edb074","9f046ddb-b480-4967-8a90-46f5d4c0b29b","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Great Ormond Street","","","London","","WC1N 3JH",""
"75","Great Western Hospital","Radiology based Nuclear Medicine","","597ad4b9-23b3-4c21-bc91-e064c44c9420","5ccc2767-6da6-4171-8630-ae63d81f8a10","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Marlborough Road","","","Swindon","Wiltshire","SN3 6BB",""
"76","Guy's Hospital","Radiopharmacy","","4e70b24b-05cf-43d2-bad9-f3f6ffc3c8ed","a5e0bd35-fcc0-4bab-9518-efb97fd1020e","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Great Maze Pond","","","London","","SE1 9RT",""
"77","Guy's Hospital","Nuclear Medicine Stand Alone","","8696a3d8-b80b-4d9f-890f-08aa24ded0d5","a5e0bd35-fcc0-4bab-9518-efb97fd1020e","Updated and verified","address_line_1; address_town_city; address_post_code; phone_number","address_line2; address_line_3; address_county","Great Maze Pond","","","London","","SE1 9RT","020 7188 4112"
"78","Hammersmith Hospital","Radiology based Nuclear Medicine","","f2963e6b-7d26-4737-bee4-ac035d0c5796","a3dcdce6-21e6-474d-bd38-d32e547cbb2f","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Du Cane Road","","","London","","W12 0HS",""
"79","Harefield Hospital","Nuclear Medicine Stand Alone","","0b4f4ee5-9d62-4353-be9b-728b311f8507","51711e8d-1371-4e1b-956e-3a936d3bb062","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Hill End Road","","","Harefield","","UB9 6JH",""
"80","Harrogate District Hospital","Radiology based Nuclear Medicine","","6debb3a7-a9fa-4baf-81b7-9e369a5c3293","49c2560a-f705-4020-b442-e39fd34586fa","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Lancaster Park Road","","","Harrogate","North Yorkshire","HG2 7SX",""
"81","Hemel Hempstead Hospital","Radiology based Nuclear Medicine","","124d9915-6ef0-4a2b-b75c-38121036f70e","bb511364-8848-4728-b5e3-28c90e117abd","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Hillfield Road","","","Hemel Hempstead","Hertfordshire","HP2 4AD",""
"82","Hereford County Hospital","Nuclear Medicine Stand Alone","","cb0bf2d8-3c9e-4751-b1c2-8bf695251182","0755f120-c74b-4ba3-b269-77a3acde5216","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Stonebow Road","","","Hereford","Herefordshire","HR1 2BN",""
"83","Hillingdon Hospital","Radiology based Nuclear Medicine","","9cb63489-7b8e-47e5-bbbe-965d0834ea97","61e4109a-00f4-4921-b031-dc4cc37e68d7","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Pield Heath Road","","","Uxbridge","Middlesex","UB8 3NN",""
"84","Huddersfield Royal Infirmary","Radiology based Nuclear Medicine","","cc9b5253-369e-400c-bb53-2d9fccda1715","aec84f48-5b26-43a1-8f6b-dd9f3ae5e0ac","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Acre Street","","","Huddersfield","West Yorkshire","HD3 3EA",""
"85","Huddersfield Royal Infirmary","Radiopharmacy","","e8aef3a8-2c56-418b-9bbe-90e935e31207","aec84f48-5b26-43a1-8f6b-dd9f3ae5e0ac","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Acre Street","","","Huddersfield","West Yorkshire","HD3 3EA",""
"86","Hull Royal Infirmary","Radiology based Nuclear Medicine","","72aac136-41a9-4193-aee7-bddb9a43f939","6c0ab51a-5889-4788-aaa4-0f4dd9db0823","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Anlaby Road","","","Hull","East Yorkshire","HU3 2JZ",""
"87","Hull Royal Infirmary","Radiopharmacy","","c25ac777-2e13-43a0-b670-1fd7dc616888","6c0ab51a-5889-4788-aaa4-0f4dd9db0823","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Anlaby Road","","","Hull","East Yorkshire","HU3 2JZ",""
"88","InHealth Nottingham PETCT Centre","PET Centre","","8ed94cb1-6618-48bb-8cc5-203ead59d13e","c2d9ef73-5ee0-4c7b-95b2-0af852e97bd9","Updated and verified","address_line_1; address_town_city; address_county; address_post_code; phone_number","address_line2; address_line_3","Hucknall Road","","","Nottingham","Nottinghamshire","NG5 1PB","0115 896 8580"
"89","Inverclyde Royal Hospital","PET Centre","","26b7310f-d87c-4030-a5c1-12d7e4e35a03","06eceb62-d0cd-4592-b99c-2a8777758866","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Larkfield Road","","","Greenock","","PA16 0XN",""
"90","Ipswich Hospital","Radiopharmacy","","67cc7c73-bfbc-46c6-8814-24ab2e87d063","662246be-8586-4ee6-9082-18b592e276ff","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Heath Road","","","Ipswich","Suffolk","IP4 5PD",""
"91","Ipswich Hospital","Radiology based Nuclear Medicine","","763730e2-0f7b-4fbb-acfd-910d87cbdfe1","662246be-8586-4ee6-9082-18b592e276ff","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Heath Road","","","Ipswich","Suffolk","IP4 5PD",""
"92","Jack Brignall PET-CE Centre","PET Centre","","bb6a9b5b-ccd4-4677-8ad6-a7a015d7d3ee","e5dfef21-fbb5-437e-a4b4-d2720440dec7","Updated and verified","address_line_1; address_town_city; address_county; address_post_code; phone_number","address_line2; address_line_3","Castle Road","","","Cottingham","East Riding of Yorkshire","HU16 5JQ","01482 623201"
"93","John Mallard PET Centre","PET Centre","","9d6e98f9-734b-4b4d-b476-da803378759c","6895d932-8894-4bf5-82a9-877e5d15911d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Foresterhill","","","Aberdeen","Aberdeenshire","AB25 9ZD",""
"94","John Radcliffe Hospital","Nuclear Medicine Stand Alone","","44a331f4-7cff-4c12-ad3e-a699a37a153d","0ce1098b-42e4-4056-ab89-ac28a06ac34c","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Headley Way","Headington","","Oxford","Oxfordshire","OX3 9DU",""
"95","Kent and Canterbury Hospital","Radiopharmacy","","40c48446-7b1e-4813-a13b-c73a8b569d67","c13546d9-a8ae-46fc-9370-57c9c811f914","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Ethelbert Road","","","Canterbury","Kent","CT1 3XL",""
"96","Kent and Canterbury Hospital","Nuclear Medicine Stand Alone","","e629e712-2068-45aa-bc23-fca21599ff31","c13546d9-a8ae-46fc-9370-57c9c811f914","Updated and verified","address_line_1; address_town_city; address_county; address_post_code; phone_number","address_line2; address_line_3","Ethelbert Road","","","Canterbury","Kent","CT1 3XL","01227 864258"
"97","Kettering General Hospital","Nuclear Medicine Stand Alone","","9ea7aa66-e117-4532-8b35-1d7ddb641954","9ba3693f-ed39-4a70-a5ed-ee455ba809f9","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Rothwell Road","","","Kettering","Northamptonshire","NN16 8UZ",""
"98","King's College Hospital","PET Centre","","3fa4bfea-ae68-40ac-be80-a7f7a5fc7c34","79381b52-eaf0-4a73-9893-684d3267eea3","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Denmark Hill","","","London","","SE5 9RS",""
"99","King's College Hospital","Nuclear Medicine Stand Alone","","cb330777-3f9e-4e0d-a20c-7ded89a5333f","79381b52-eaf0-4a73-9893-684d3267eea3","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Denmark Hill","","","London","","SE5 9RS",""
"100","King's Mill Hospital","Nuclear Medicine Stand Alone","","63ce65d2-7a9c-4629-8132-cf24b8845c0e","43bbce5d-f2ff-473d-875a-d8d3d63b28c3","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Mansfield Road","","","Sutton-in-Ashfield","Nottinghamshire","NG17 4JL",""
"101","Kingston Hospital","Radiology based Nuclear Medicine","","b54a94f3-6ab9-42aa-ad8a-e23ed86f8cca","d3a19eef-f71c-4079-81ca-bfc6bb3fa71d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Galsworthy Road","","","Kingston upon Thames","Surrey","KT2 7QB",""
"102","Leeds General Infirmary","Radiology based Nuclear Medicine","","6b79e44c-e9ac-4ba0-9f02-27d735ee752d","a97a6d95-e578-44f7-9002-033af0ca4ee8","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Great George Street","","","Leeds","West Yorkshire","LS1 3EX",""
"103","Leicester Royal Infirmary","Nuclear Medicine - Physics based","","315f6c85-00d3-4415-8787-aa1b5344f4ec","08fcc1f7-f2e2-41d6-8dbc-bf5c07b4b841","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code; phone_number","address_line_3","Level 0 Sandringham Building","Leicester Royal Infirmary","","Leicester","Leicestershire","LE1 5WW","0116 258 5627"
"104","Lincoln County Hospital","Radiopharmacy","","85c35d07-23dc-4a7c-901f-15c8ce8ff350","a923f6fd-e3ec-4324-877f-5567650d26eb","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Greetwell Road","","","Lincoln","Lincolnshire","LN2 5QY",""
"105","Lincoln County Hospital","Nuclear Medicine - Physics based","","86fcc4d8-b6e0-4464-bbb8-bc3c2fff5f43","a923f6fd-e3ec-4324-877f-5567650d26eb","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Greetwell Road","","","Lincoln","Lincolnshire","LN2 5QY",""
"106","Lister Hospital","Radiology based Nuclear Medicine","","190ebd39-d354-449f-b0b2-7401e6701653","763fd21d-a9e9-4153-b143-958a0dcf5cff","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Coreys Mill Lane","","","Stevenage","Hertfordshire","SG1 4AB",""
"107","London Bridge Hospital","Radiology based Nuclear Medicine","","dfc38fc3-62af-4ff3-aa97-94fbaa75def1","a6f386bd-3821-4a56-84ab-97c7d46c5f68","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","27 Tooley Street","","","London","","SE1 2PR",""
"108","Luton and Dunstable Hospital","Radiology based Nuclear Medicine","","850a386b-c39a-4280-b4ea-edf14be7a214","11237f87-9b4c-4567-b7e5-7287c8e08546","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Lewsey Road","","","Luton","Bedfordshire","LU4 0DZ",""
"109","Maidstone Hospital","Radiology based Nuclear Medicine","","106b4f39-db6a-4194-9ec7-b90dbc357bab","83b9c5ca-79a3-4bc0-bed3-f705cd1b5759","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Hermitage Lane","","","Maidstone","Kent","ME16 9QQ",""
"110","Manchester Royal Infirmary","Radiology based Nuclear Medicine","","1496986e-6ee8-474c-a1ff-353261826ee3","1b533469-2582-4b92-a86b-812b2d7d41bf","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Oxford Road","","","Manchester","Greater Manchester","M13 9WL",""
"111","Manchester Royal Infirmary","Nuclear Medicine Stand Alone","","607cda26-bf27-429a-964d-762a2b864782","1b533469-2582-4b92-a86b-812b2d7d41bf","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Oxford Road","","","Manchester","Greater Manchester","M13 9WL",""
"112","Manor Hospital Walsall","Radiology based Nuclear Medicine","","90730491-d619-41c2-a501-a9e44236352b","c0a1200e-c752-4966-9c70-34017273ab9c","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Moat Road","","","Walsall","West Midlands","WS2 9PS",""
"113","Medway Maritime Hospital","Nuclear Medicine Stand Alone","","46d5d396-6d31-4c20-9f1f-8da5dbe851de","2a7910a2-42d5-4dc3-82ce-d98a4cfe5a81","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Windmill Road","","","Gillingham","Kent","ME7 5NY",""
"114","Medway Maritime Hospital","Radiopharmacy","","a5852f5d-4d63-4b3a-83a6-6b216e4fb7ca","2a7910a2-42d5-4dc3-82ce-d98a4cfe5a81","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Windmill Road","","","Gillingham","Kent","ME7 5NY",""
