"Excel row","Organisation","Department","Duplicate of row","Department UUID","Organisation UUID","Outcome","Changed fields","Blank fields preserved","address_line_1","address_line2","address_line_3","address_town_city","address_county","address_post_code","phone_number"
"195","Royal Liverpool University Hospital","PET Centre","","6a111a71-4374-49d2-bccf-b0e15fbc8623","344d2c03-124e-4b52-9cb1-c0da9a69e594","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Prescot Street","","","Liverpool","Merseyside","L7 8XP",""
"196","Royal Manchester Children's Hospital","Nuclear Medicine - Physics based","","5cf9c371-e4de-4a74-bd42-6e26bb724884","79455630-e4c3-44ec-aa64-454f4b288161","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Oxford Road","","","Manchester","Greater Manchester","M13 9WL",""
"197","Royal National Orthopaedic Hospital","Nuclear Medicine Stand Alone","","ae23f96d-91cf-4545-b4ea-7c1b23b59f74","190af422-1acb-40bd-b838-68dc5640093d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Brockley Hill","","","Stanmore","Middlesex","HA7 4LP",""
"198","Royal Papworth Hospital","Radiology based Nuclear Medicine","","d6cb3208-672c-496f-b519-c3cbf50602cb","87cc3280-2b42-4579-b57f-c4aa2a49c8db","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","Papworth Road","Cambridge Biomedical Campus","","Cambridge","Cambridgeshire","CB2 0AY",""
"199","Royal Preston Hospital","Nuclear Medicine Stand Alone","","4ae089ec-172c-4fed-8c9d-2da38a6c5058","b1437051-564b-4237-94cc-aedc2ac4354d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code; phone_number","address_line2; address_line_3","Sharoe Green Lane","","","Preston","Lancashire","PR2 9HT","01772 522381"
"200","Royal Preston Hospital","Radiopharmacy","","562f5b69-dd4f-4042-b76b-87629f6f26bc","b1437051-564b-4237-94cc-aedc2ac4354d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Sharoe Green Lane","","","Preston","Lancashire","PR2 9HT",""
"201","Royal Preston Hospital","PET Centre","","5ab68dbe-4da2-4ff0-b75a-d5422c8ff32b","b1437051-564b-4237-94cc-aedc2ac4354d","Updated and verified","address_line_1; address_town_city; address_county; address_post_code; phone_number","address_line2; address_line_3","Sharoe Green Lane","","","Preston","Lancashire","PR2 9HT","01772 524100"
"202","Royal Shrewsbury Hospital","Radiology based Nuclear Medicine","","0b6f3187-973b-4c53-9dc0-5cb548721700","8fb9cefa-13c6-4633-84cf-54c1ba3fa8b5","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Mytton Oak Road","","","Shrewsbury","Shropshire","SY3 8XQ",""
"203","Royal Shrewsbury Hospital","Radiopharmacy","","6fc1c8bd-eec0-49dd-8413-ed71511da3f8","8fb9cefa-13c6-4633-84cf-54c1ba3fa8b5","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Mytton Oak Road","","","Shrewsbury","Shropshire","SY3 8XQ",""
"204","Royal Stoke Hospital","Radiology based Nuclear Medicine","","f62ebfe6-64a8-4ea6-8b0f-96e213494c53","54b0a9cc-4484-454e-9090-3c0f364cfc55","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Newcastle Road","","","Stoke-on-Trent","Staffordshire","ST4 6QG",""
"205","Royal Surrey County Hospital","Nuclear Medicine Stand Alone","","521d3f68-07fb-407a-8961-63015fa37442","e7f4f792-48da-4d7b-8918-526e7227f450","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Egerton Road","","","Guildford","Surrey","GU2 7XX",""
"206","Royal Sussex County Hospital","Nuclear Medicine Stand Alone","","0d3f9ff3-8b1a-4db9-b906-57b786664dbe","8c6b7161-ea4b-4e29-8438-99fa7f362a8f","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Eastern Road","","","Brighton","East Sussex","BN2 5BE",""
"207","Royal Sussex County Hospital","Radiopharmacy","","16f0be08-0105-4b1f-9bee-dd6dfe619362","8c6b7161-ea4b-4e29-8438-99fa7f362a8f","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Eastern Road","","","Brighton","East Sussex","BN2 5BE",""
"208","Royal United Hospital","Radiopharmacy","","5fbce29c-213a-48bc-8a8c-e2d891e42c95","e6840819-4d9f-41c8-b2e4-189de51f8e68","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Combe Park","","","Bath","Somerset","BA1 3NG",""
"209","Royal United Hospital","Nuclear Medicine - Physics based","","e2633069-3409-4146-b28c-148263acb7b3","e6840819-4d9f-41c8-b2e4-189de51f8e68","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Combe Park","","","Bath","Somerset","BA1 3NG",""
"210","Royal United Hospital","Nuclear Medicine - Physics based","209","e2633069-3409-4146-b28c-148263acb7b3","e6840819-4d9f-41c8-b2e4-189de51f8e68","Duplicate — included with row 209","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Combe Park","","","Bath","Somerset","BA1 3NG",""
"211","Royal Victoria Hospital","Nuclear Medicine Stand Alone","","7696ba9c-dc20-48d0-84a8-c63d70f1a86a","84a86e0f-e6b3-4303-adb9-aa3418383677","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","274 Grosvenor Road","","","Belfast","","BT12 6BA",""
"212","Royal Victoria Hospital","Radiopharmacy","","d5f83907-93db-4caf-84e6-f55887603881","84a86e0f-e6b3-4303-adb9-aa3418383677","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","274 Grosvenor Road","","","Belfast","","BT12 6BA",""
"213","Russells Hall Hospital","Radiology based Nuclear Medicine","","346ec7c6-4b82-492d-bf22-7f6e92fbb79a","195f3e64-8e3b-4621-b4be-45a6e45a0e11","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Pensnett Road","","","Dudley","West Midlands","DY1 2HQ",""
"214","Salford Royal Hospital","Radiopharmacy","","103cb9fc-b83b-4ce5-99e9-f2d808698da4","04422e5c-095d-4b3b-b025-6c38261d87d5","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Stott Lane","","","Salford","Greater Manchester","M6 8HD",""
"215","Salford Royal Hospital","Nuclear Medicine Stand Alone","","b291c95e-142c-463f-b9c5-e41ed8b149a0","04422e5c-095d-4b3b-b025-6c38261d87d5","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Stott Lane","","","Salford","Greater Manchester","M6 8HD",""
"216","Salisbury District Hospital","Radiology based Nuclear Medicine","","8a13beeb-cafb-4818-9fea-b2a0096d5639","7e6a074c-33c2-44bb-b923-ed337d45d798","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Odstock Road","","","Salisbury","Wiltshire","SP2 8BJ",""
"217","Scarborough Hospital","Nuclear Medicine Stand Alone","","ad731b3d-c4bb-4f21-a58d-9ef85800a3ff","17b1300a-e17a-41a7-bd87-c9b53deedb32","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Woodlands Drive","","","Scarborough","North Yorkshire","YO12 6QL",""
"218","Scarborough Hospital","Nuclear Medicine Stand Alone","217","ad731b3d-c4bb-4f21-a58d-9ef85800a3ff","17b1300a-e17a-41a7-bd87-c9b53deedb32","Duplicate — included with row 217","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Woodlands Drive","","","Scarborough","North Yorkshire","YO12 6QL",""
"219","Scarborough Hospital","Radiopharmacy","","fc381e7b-5eb5-4d05-8dcb-ede8ba50e271","17b1300a-e17a-41a7-bd87-c9b53deedb32","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Woodlands Drive","","","Scarborough","North Yorkshire","YO12 6QL",""
"220","Sheffield Children's Hospital","Radiology based Nuclear Medicine","","09f6f695-7773-4d27-8938-d526bfa83615","11b4eef3-43f1-4724-94cb-b7baeb27bbcf","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Western Bank","","","Sheffield","South Yorkshire","S10 2TH",""
"221","Simbec-Orion Clinical Pharmacology Unit","Nuclear Medicine Stand Alone","","301fb8dd-08fc-4e72-98d5-b1efbf3e1e9f","0ed5d4bc-4309-4dd5-95d7-a3c9d300166f","Updated and verified","address_line_1; address_line2; address_line_3; address_town_city; address_post_code","address_county; phone_number","Merthyr Tydfil Industrial Park","Merthyr Road","Pentrebach","Merthyr Tydfil","","CF48 4DR",""
"222","Singleton Hospital","Nuclear Medicine - Physics based","","f5e51cc5-d52e-40e2-b3ca-ec4ff1a946c5","802c59c2-6d44-4ee2-a22b-39045ae2c7f4","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Sketty Lane","","","Swansea","","SA2 8QA",""
"223","South Tyneside District Hospital","Radiology based Nuclear Medicine","","0af9fa59-350a-45c7-a585-1764e37935e2","e3606f21-9bc2-44aa-b7b5-6de7c427a859","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Harton Lane","","","South Shields","Tyne and Wear","NE34 0PL",""
"224","South Tyneside District Hospital","Radiopharmacy","","ef4d27a3-14d6-44b4-853c-a20d22c58e02","e3606f21-9bc2-44aa-b7b5-6de7c427a859","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Harton Lane","","","South Shields","Tyne and Wear","NE34 0PL",""
"225","Southampton General Hospital","Radiopharmacy","","a161f139-ab00-4492-ab6a-865892eea5a1","26fde922-6cef-42d9-99ee-a0fdc29d72a1","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Tremona Road","","","Southampton","","SO16 6YD",""
