#TUNAWEZA faundation
AAMUSTED
Global Development Incubator
Global Scientific Network (GSN)
Global Teachers Institute
Great Hood Academy
Grofin
Guide Star Organization
"Halal Global Nursery and Primary School, P.O BOX 341616,Arua, Uganda"
Happy Kiddies College
Head Start Education Technologies (Pty) Ltd
Headstone Ministries Uganda
Helambu Education Livelihood Partnership
Help Me To Learn Community School
Heritage School of Kenya
Hope and Homes for Children
Hope for Youth - Uganda
Hope Worldwide International
HopeBridge Innovation for Resilience & Empowerment (HIRE)
HundrED
I am an individual
ICDP Ghana
IDES Mozambique
IDRC
iDreamCareer
Indian School Finance Company
Innova Schools
Inspire Educate and Empower Rwanda
"International Council for Refugees and Immigrant, Inc."
Joy for Children
Joy for Children Uganda
Kach-up Learning Hub
Kathkali Swpnopuran Welfare Society
KEPSA
Khanyisa Inanda Seminary Community Projects
Kilimanjaro Blind Trust Africa
Kimmy Chic Intergrated Academy
Kingdomway generaruon pre school
Knowledge In Books
KuzeKuze
LaTisha Nicole LLC
Leap Schools SA
LEARN Afghan
Learning alliance
Liberal educational Academy
Liceo Impulso
Life Change Rukwa Development Organisation (LCRDO)
Light Up Hope Africa
Literacy and Adult Basic Education
Little Rock Kenya
Lukenya Community Schools
Lwalla community alliance
Madad Foundation 
Malaika
Mary joy Ethiopia
Masentle Community Development
MATESO1
MATSO4
Matungu Community Development Charity (MCDC)
MH Test 001
Molo Mhlaba
MONTESSORI COMMUNITY OF TANZANIA (MCT)
Morogoro Saving the Poor Organization (MOSAPORG)
Mount Usambara English Medium Pre and Primary School
Mouvement national pour l'education pour tous ( MoNEPT)
Moving Minds Alliance
New Seed International Academy
NFER
Notre BoÃ®te A Livres
NudgED Trust
Nurtura
nurtura Ltd
Nuture First
Oakland General merchant Consulting (OGMC)
OM Foundation
OtherAI
Pangea Educational Development
Partnership for Change
Peace One Day Mali
Peculiar Child Care Support
Perkins School for the Blind India Foundation
Phakamani Young Minds Academy
PHINMA Education
Piramal F
Plato Cultural
POPE JOHN PAUL II MODEL SECONDARY SCHOOL UMUNAGBOR IHITTE
Practical Education Network
Pratham Education Foundation
Pratham International
"Pratham International, Inc."
Premier DLC (Beaconhouse Group)
President's Young Professionals Program
RADED (RÃ©seau Africain pour le DÃ©veloppement Durable)
Raiz do Futuro
RAJAPI COP SENEGAL 
ramirezcomp66
Rays of Hope Ministries
Read Foundation
Rede Decisão
ReGEN
Rural to Action
Rwamagana Leaders' School
Sabis
Safe Society 
Safeguarding Africa
Safisha Africa Welfare Foundation
Salam Green Hills high School
Sarthak Shiksha
Save the Children
Save the Children Global Ventures
School for Life - Ghana
Scopus International School & College
Score ECD
SECONDARY EDUCATION FOR GIRL'S ADVANCEMENT-SEGA
SEF Partner School (Foundation-Assisted School)
Sensotech Consultants Limited
Sfax International Linguistic Training centre
Sharon ESO 29.01
Sharon Org 31
Sharon SO Swap test
Sharon swap test
Sharon test
Sharon test
Sharon Testing
Sharon Testing 2302
Shiksharth
SIP Red de Colegios
Skillsforus
SlumChild Foundation
SO
SO BETA
Social Growth And Education Aids (SOGEA-TANZANIA)
Social Protection
Solar United Madagascar
Soma Kwa Furaha Initiative (SKFI)
SPIX Foundation
Ssaku Senior Secondary School
St. Anthony School Ltd
St. Pio Foundation
Steam Labs
STREET CHILDREN EMPOWERMENT FOUNDATION
Tajizuri
Taleem Finance Company Ltd
Tanzania organization of serving orphans and vurnelable children
Tanzania Youth and Children care Organization 
Tanzania Youth Espouse for Gender and Development (TYEGD)
Taraji Schools
TaRL
TaRL Africa
Teach For All
Teach For Bangladesh
Teach For Botswana
Teach for Kenya
Teach For Zimbabwe
Teach the World Foundation
Teacher coaches Uganda
Teaching at the Right Level (TaRL) Africa
TEP Centre
TEST Heram Solutions
TEST iConnect2.0
test org 7000
testing an SO
testOrg_beta
testOrg1001
testOrg999
testOrgMH
testOrgY
testOrgZ
testOrgZZ
The Aga Khan Academy
The Cecily Group
The Centre for Learning & Childrenâ€™s Rights 
The Education Partnership (TEP) Centre
"The Learning Foundation, Sierra Leone"
The MakersPlace
The Noble Academy/School
The Presbyterian University of East Africa
Todos Pela EducaÃƒÂ§ÃƒÂ£o
Toilets for All
Tom Educacao
Ubuntu Universe
University of Embu
University of Nairobi
UNLEASH
Unwomen
Usawa Agenda
UWEZO TANZANIA
Valenture Institute
Village Schools International
VVOB
Ward Family Foundation
Wema Uganda
White Loop
WIDOWS AND SINGLE MOTHERS DEVELOPMENT ORGANIZATION-WISIMODO
Wildbound
Windle Trust International
Wings to Fly Initiative
Women and Rural Development Networks
Women concern
World Vision International
yamanju
Youth Action for Sustainable Development Sierra Leone 
Youth Co-operation for Ideas (YCI)
Youth Impact
Youth Leaders for Restoration and Development - YOLRED
Zizi Afrique Foundation
