"Organisation Name","Organisation UUID","Department Name","Department UUID"
"Leceister Royal Infirmary","08fcc1f7-f2e2-41d6-8dbc-bf5c07b4b841","Nuclear Medicine - Physics based","315f6c85-00d3-4415-8787-aa1b5344f4ec"
"Leeds General Infirmary","a97a6d95-e578-44f7-9002-033af0ca4ee8","Radiology based Nuclear Medicine","6b79e44c-e9ac-4ba0-9f02-27d735ee752d"
"Lincoln County Hospital","a923f6fd-e3ec-4324-877f-5567650d26eb","Nuclear Medicine - Physics based","86fcc4d8-b6e0-4464-bbb8-bc3c2fff5f43"
"Lincoln County Hospital","a923f6fd-e3ec-4324-877f-5567650d26eb","Radiopharmacy","85c35d07-23dc-4a7c-901f-15c8ce8ff350"
"Lister Hospital","763fd21d-a9e9-4153-b143-958a0dcf5cff","Radiology based Nuclear Medicine","190ebd39-d354-449f-b0b2-7401e6701653"
"London Bridge Hospital","a6f386bd-3821-4a56-84ab-97c7d46c5f68","Radiology based Nuclear Medicine","dfc38fc3-62af-4ff3-aa97-94fbaa75def1"
"Luton and Dunstable Hospital","11237f87-9b4c-4567-b7e5-7287c8e08546","Radiology based Nuclear Medicine","850a386b-c39a-4280-b4ea-edf14be7a214"
"Maidstone Hospital","83b9c5ca-79a3-4bc0-bed3-f705cd1b5759","Radiology based Nuclear Medicine","106b4f39-db6a-4194-9ec7-b90dbc357bab"
"Manchester Royal Infirmary","1b533469-2582-4b92-a86b-812b2d7d41bf","Nuclear Medicine Stand Alone","607cda26-bf27-429a-964d-762a2b864782"
"Manchester Royal Infirmary","1b533469-2582-4b92-a86b-812b2d7d41bf","Radiology based Nuclear Medicine","1496986e-6ee8-474c-a1ff-353261826ee3"
"Manor Hospital Walsall","c0a1200e-c752-4966-9c70-34017273ab9c","Radiology based Nuclear Medicine","90730491-d619-41c2-a501-a9e44236352b"
"Medway Maritime Hospital","2a7910a2-42d5-4dc3-82ce-d98a4cfe5a81","Nuclear Medicine Stand Alone","46d5d396-6d31-4c20-9f1f-8da5dbe851de"
"Medway Maritime Hospital","2a7910a2-42d5-4dc3-82ce-d98a4cfe5a81","Radiopharmacy","a5852f5d-4d63-4b3a-83a6-6b216e4fb7ca"
"Midland Metropolitan University Hospital","9c6835b0-c3be-4aa9-bbba-c8408eea6ab2","Radiopharmacy","591efcf1-6561-45ba-a78e-d93976319283"
"Midland Metropolitan University Hospital (MMUH)","fe456102-23a8-4cd5-b6ce-6d5ab078d75a","Radiology based Nuclear Medicine","197b6854-fdc8-4ea0-b78d-e61d346bd1fc"
