submission_id,created_date,applicant_name,applicant_email,extracted_org_name,missing_reason,matched_existing_org_id,matched_existing_org_name
83a6e52c-4abf-4f8f-a29a-17770c9e2488,2026-03-09T08:55:10.634+00:00,,,Wema Uganda,organization_id is NULL,,
88ba98c9-df2f-4b8d-947b-93d48607c61c,2026-03-09T20:20:13.097+00:00,,,MONTESSORI COMMUNITY OF TANZANIA (MCT),organization_id is NULL,,
60334387-e0b3-45ee-940f-9d2431e59dd6,2026-03-10T08:43:00.822+00:00,,,AlifLaila Kids Digital Library,organization_id is NULL,,
7b113ef9-983e-4e1a-ace9-060ec18df152,2026-03-10T13:35:43.186+00:00,,,nurtura Ltd,organization_id is NULL,,
163fc3fb-4fd1-4b0f-8c57-eb26bcb959f7,2026-03-11T05:25:12.83+00:00,,,Premier DLC (Beaconhouse Group),organization_id is NULL,,
a21154f1-ebba-472e-b273-8e9304436443,2026-03-11T07:43:45.273+00:00,,,"Children's Book Organisation, Tanzania",organization_id is NULL,,
5951346c-4149-4992-b6c6-6a10e8bdb922,2026-03-11T13:47:58.122+00:00,,,I am an individual,organization_id is NULL,,
afc22212-ecc6-4062-a6b9-b8f87f29c362,2026-03-12T09:14:02.477+00:00,,,Mouvement national pour l'education pour tous ( MoNEPT),organization_id is NULL,,
47b286e0-1d9e-457d-a952-12847017e31d,2026-03-13T02:23:43.891+00:00,,,Z & Z International School,organization_id is NULL,,
7613c27c-cbca-41d3-b25e-c27bfe8f0df5,2026-03-13T16:03:15.989+00:00,,,Turkish Philanthropy Funds,organization_id is NULL,,
c8c63b11-dc9e-472b-a448-16e2ff3f6507,2026-03-14T19:51:51.919+00:00,,,Alliance for Child Health Inclusive Learning and Development,organization_id is NULL,,
33abf0a0-5104-4b83-8207-32a40abc3290,2026-03-16T20:15:56.192+00:00,,,Peace One Day Mali,organization_id is NULL,,
13124ba8-5859-45c9-9e91-cc3f3b2a3d03,2026-03-16T20:34:52.11+00:00,,,World Vision International,organization_id is NULL,,
86b878d9-fd9a-4d5f-af6a-283d9f2dcc99,2026-03-16T21:49:34.963+00:00,,,Help Me To Learn Community School,organization_id is NULL,,
71a86f97-1172-49d4-acdb-69a920b0386d,2026-03-17T13:39:55.616+00:00,,,Fidel Educational consult,organization_id is NULL,,
7b20f9a5-783e-4c18-b209-f5a3d3e6fed8,2026-03-17T16:27:45.899+00:00,,,ramirezcomp66,organization_id is NULL,,
0df3e764-ff25-42b6-95ec-35f7ee97524b,2026-03-17T22:43:26.108+00:00,,,Notre Boîte A Livres,organization_id is NULL,,
484ed514-961c-4262-8875-b6c80858fede,2026-03-18T03:43:29.588+00:00,,,Head Start Education Technologies (Pty) Ltd,organization_id is NULL,,
39488b0b-d25c-49d1-b3e6-c18e0dc3f2d7,2026-03-18T06:54:36.387+00:00,,,Inspire Educate and Empower Rwanda,organization_id is NULL,,
8dad781d-31b3-4956-81c4-ab2920c639ba,2026-03-18T08:45:57.165+00:00,,,IDES Mozambique,organization_id is NULL,,
